posting_id,date_posted,job_title,normalized_role,role_family,company,industry,city,state,country,work_mode,experience_level,employment_type,salary_min,salary_max,salary_period,salary_currency,required_skills,preferred_skills,education_requirement,years_experience_required,remote_eligible,description_excerpt,recruiter_name,recruiter_email,recruiter_phone,source_type,source_record_id,synthetic_record
CP-00011,2026-05-27,Backend Engineer,Software Engineer,Software Engineering,Redwood Product Studio,Cloud Services,San Diego,CA,United States,Hybrid,Internship,Internship,45000.0,54000.0,year,USD,AWS | Git | Java | JavaScript | Python | React,C++ | Project Management,High school diploma,0,True,Synthetic internship opportunity in cloud services focused on AWS and collaborative problem solving.,Reese Brown,reese.brown10@example.net,(555) 555-0110,synthetic_job_board,SYN-20260527-00011,True
CP-00012,2026-04-09,Electrical Design Engineer,Electrical Engineer,Electrical & Hardware Engineering,Axiom Circuit Labs,Aerospace,Minneapolis,MN,United States,Hybrid,Mid Level,Full-time,79000.0,108000.0,year,USD,Altium | AutoCAD | Communication | PLC | Python,Arduino | Embedded C | Git | LabVIEW | Project Management,Bachelor's degree,3,True,Synthetic mid level opportunity in aerospace focused on Altium and collaborative problem solving.,Cameron Davis,cameron.davis11@example.com,(555) 555-0111,synthetic_job_board,SYN-20260409-00012,True
CP-00013,2026-06-08,Backend Engineer,Software Engineer,Software Engineering,Front Range Controls,Software,Salt Lake City,UT,United States,On-site,Entry Level,Full-time,68000.0,85000.0,year,USD,Java | JavaScript | Linux | Python | React,Azure | Communication | Docker | Project Management,No degree specified,1,False,Synthetic entry level opportunity in software focused on Java and collaborative problem solving.,Cameron Patel,cameron.patel12@example.net,,synthetic_job_board,SYN-20260608-00013,True
CP-00014,2026-04-02,IT Support Specialist,IT Support Specialist,Information Technology,Potomac Digital Services,Healthcare,Pittsburgh,PA,United States,Hybrid,Entry Level,Full-time,37000.0,46000.0,year,USD,Communication | Networking | Technical Support | Ticketing Systems | Windows,Azure | Cybersecurity,Bachelor's degree preferred,0,True,Synthetic entry level opportunity in healthcare focused on Communication and collaborative problem solving.,Riley Patel,riley.patel13@example.org,(555) 555-0113,synthetic_job_board,SYN-20260402-00014,True
CP-00015,2026-02-22,IoT Engineer,Embedded Systems Engineer,Electrical & Hardware Engineering,Front Range Controls,Robotics,Chicago,IL,United States,On-site,Mid Level,Full-time,100000.0,118000.0,year,USD,Arduino | C++ | Circuit Design | Embedded C | Git | Linux | Microcontrollers,Altium | Communication | MATLAB | Python | RTOS,High school diploma,5,False,Synthetic mid level opportunity in robotics focused on Arduino and collaborative problem solving.,Morgan Kim,morgan.kim14@example.com,(555) 555-0114,synthetic_job_board,SYN-20260222-00015,True
CP-00016,2026-05-17,Power Systems Engineer,Electrical Engineer,Electrical & Hardware Engineering,Harborlight HealthTech,Advanced Manufacturing,Indianapolis,IN,United States,Hybrid,Internship,Internship,31000.0,37000.0,year,USD,Altium | AutoCAD | C++ | Circuit Design | MATLAB | PLC | Python,Arduino | Embedded C | Git | LabVIEW | Project Management,Bachelor's degree preferred,0,True,Synthetic internship opportunity in advanced manufacturing focused on Altium and collaborative problem solving.,Parker Kim,parker.kim15@example.org,(317) 555-0115,synthetic_job_board,SYN-20260517-00016,True
CP-00017,2026-04-04,SOC Analyst,Cybersecurity Analyst,Cybersecurity,Rainier Cloud Group,Cloud Services,Atlanta,GA,United States,Remote,Associate,Full-time,75000.0,90000.0,year,USD,AWS | Azure | Git | Incident Response | Networking,AWS | Azure | Git | Project Management | SQL,No degree specified,3,True,Synthetic associate opportunity in cloud services focused on AWS and collaborative problem solving.,Skyler Wilson,skyler.wilson16@example.com,(555) 555-0116,synthetic_job_board,SYN-20260404-00017,True
CP-00018,2026-07-14,Product Data Analyst,Product Analyst,Data & Analytics,Redwood Product Studio,Consumer Technology,Portland,OR,United States,Remote,Mid Level,Full-time,120000.0,90000.0,year,USD,Azure | Communication | Excel | Git | Product Analytics | SQL,JavaScript | Power BI | Project Management | Statistics,Bachelor's degree preferred,6,True,Synthetic mid level opportunity in consumer technology focused on Azure and collaborative problem solving.,Quinn Patel,quinn.patel17@example.com,(555) 555-0117,synthetic_job_board,SYN-20260714-00018,True
CP-00019,2026-05-05,Full Stack Engineer,Software Engineer,Software Engineering,Redwood Product Studio,Software,Pittsburgh,PA,United States,Remote,Entry Level,Full-time,69000.0,89000.0,year,USD,Communication | JavaScript | Linux | Python | React,C++ | Communication | Docker | Project Management,Bachelor's degree,1,True,Synthetic entry level opportunity in software focused on Communication and collaborative problem solving.,Reese Lewis,reese.lewis18@example.com,(555) 555-0118,synthetic_job_board,SYN-20260505-00019,True
CP-00020,2026-03-26,Product Analyst,Product Analyst,Data & Analytics,Redwood Product Studio,E-commerce,Boston,MA,United States,Remote,Entry Level,Full-time,63000.0,77000.0,year,USD,Azure | Communication | Data Visualization | Git,JavaScript | Project Management | Statistics,Bachelor's degree,0,True,Synthetic entry level opportunity in e-commerce focused on Azure and collaborative problem solving.,Skyler Patel,skyler.patel19@example.com,(555) 555-0119,synthetic_job_board,SYN-20260326-00020,True
CP-00021,2026-07-01,Power Systems Engineer,Electrical Engineer,Electrical & Hardware Engineering,Pioneer Aerospace Works,Robotics,San Diego,CA,United States,On-site,Entry Level,Full-time,61000.0,79000.0,year,USD,Altium | AutoCAD | C++ | Circuit Design | Communication | MATLAB | PLC,Arduino | Embedded C | Git,High school diploma,0,False,Synthetic entry level opportunity in robotics focused on Altium and collaborative problem solving.,Skyler Davis,skyler.davis20@example.com,(555) 555-0120,synthetic_job_board,SYN-20260701-00021,True
CP-00022,2026-07-03,Full Stack Engineer,Software Engineer,Software Engineering,Liberty Financial Tech,HealthTech,Minneapolis,MN,United States,On-site,Mid Level,Full-time,97000.0,135000.0,year,USD,AWS | Git | Java | React | SQL,Azure | C++ | Communication | Docker | Project Management,Bachelor's degree,3,False,Synthetic mid level opportunity in healthtech focused on AWS and collaborative problem solving.,Quinn Brown,quinn.brown21@example.net,(555) 555-0121,synthetic_job_board,SYN-20260703-00022,True
CP-00023,2026-04-03,PLC Engineer,Automation Engineer,Electrical & Hardware Engineering,Hoosier Automation Co.,Logistics,Austin,TX,United States,Remote,Entry Level,Full-time,53000.0,76000.0,year,USD,AutoCAD | Communication | Control Systems | Git | MATLAB | PLC | Project Management,Git | Robotics,,0,True,Synthetic entry level opportunity in logistics focused on AutoCAD and collaborative problem solving.,Cameron Lee,cameron.lee22@example.net,(512) 555-0122,synthetic_job_board,SYN-20260403-00023,True
CP-00024,2026-04-15,Infrastructure Engineer,Network Engineer,Information Technology,Keystone Energy Works,Managed Services,Phoenix,AZ,United States,On-site,Entry Level,Full-time,49000.0,67000.0,year,USD,Communication | Cybersecurity | Linux | Networking,AWS | Git | SIEM,Bachelor's degree,1,False,Synthetic entry level opportunity in managed services focused on Communication and collaborative problem solving.,Taylor Kim,taylor.kim23@example.org,(555) 555-0123,synthetic_job_board,SYN-20260415-00024,True
CP-00025,2026-02-12,Backend Engineer,Software Engineer,Software Engineering,Great Lakes Data Cooperative,FinTech,Austin,TX,United States,Remote,Mid Level,Full-time,111000.0,138000.0,year,USD,Azure | Java | Project Management | Python,Azure | C++ | Communication | Docker,No degree specified,6,True,Synthetic mid level opportunity in fintech focused on Azure and collaborative problem solving.,Riley Wilson,riley.wilson24@example.com,(512) 555-0124,synthetic_job_board,SYN-20260212-00025,True
CP-00026,2026-04-27,Software Engineer,Software Engineer,Software Engineering,Great Lakes Data Cooperative,FinTech,Austin,TX,United States,Hybrid,Internship,Internship,,,year,USD,Git | JavaScript | Python | React,C++ | Communication | Docker | Project Management,Bachelor's degree preferred,0,True,Synthetic internship opportunity in fintech focused on Git and collaborative problem solving.,Taylor Brown,taylor.brown25@example.org,(512) 555-0125,synthetic_job_board,SYN-20260427-00026,True
CP-00027,2026-03-22,SOC Analyst,Cybersecurity Analyst,Cybersecurity,Summit Network Partners,Cybersecurity,Seattle,WA,United States,Hybrid,Entry Level,Contract,67000.0,81000.0,year,USD,Communication | Incident Response | Linux | Python | SIEM,AWS | Azure | Git | Project Management | SQL,Bachelor's degree,0,True,Synthetic entry level opportunity in cybersecurity focused on Communication and collaborative problem solving.,Taylor Lee,taylor.lee26@example.net,(206) 555-0126,synthetic_job_board,SYN-20260322-00027,True
CP-00028,2026-04-13,Automation Engineer,Automation Engineer,Electrical & Hardware Engineering,Northstar Robotics,Food Production,Columbus,OH,United States,On-site,Associate,Full-time,72000.0,87000.0,year,USD,AutoCAD | Communication | Control Systems | MATLAB | Python,Arduino | Robotics | SQL,No degree specified,2,False,Synthetic associate opportunity in food production focused on AutoCAD and collaborative problem solving.,Casey Lewis,casey.lewis27@example.net,(555) 555-0127,synthetic_job_board,SYN-20260413-00028,True
CP-00029,2026-07-16,Network Engineer,Network Engineer,Information Technology,Sonoran Systems Lab,Managed Services,Indianapolis,IN,United States,On-site,Associate,Full-time,68000.0,81000.0,year,USD,Cisco | Communication | Cybersecurity | Linux | Networking | Python,AWS | Azure | Git | Project Management | SIEM,Bachelor's degree preferred,1,False,Synthetic associate opportunity in managed services focused on Cisco and collaborative problem solving.,Taylor Davis,taylor.davis28@example.com,(317) 555-0128,synthetic_job_board,SYN-20260716-00029,True
CP-00030,2026-02-19,SOC Analyst,Cybersecurity Analyst,Cybersecurity,Pioneer Aerospace Works,Financial Services,Austin,TX,United States,On-site,Entry Level,Full-time,67000.0,82000.0,year,USD,Communication | Incident Response | Linux | Networking | Python | SIEM,AWS | Azure | Git | SQL,Bachelor's degree,1,False,Synthetic entry level opportunity in financial services focused on Communication and collaborative problem solving.,Cameron Kim,cameron.kim29@example.net,,synthetic_job_board,SYN-20260219-00030,True
CP-00031,2026-06-04,Junior Data Analyst,Data Analyst,Data & Analytics,Orchard Education Labs,Healthcare,Denver,CO,United States,Hybrid,Entry Level,Full-time,46000.0,65000.0,year,USD,Communication | Data Visualization | Excel | Power BI | SQL | Tableau,Git | Project Management,No degree specified,1,True,Synthetic entry level opportunity in healthcare focused on Communication and collaborative problem solving.,Taylor Martin,taylor.martin30@example.org,(555) 555-0130,synthetic_job_board,SYN-20260604-00031,True
CP-00032,2026-03-08,Associate Product Analyst,Product Analyst,Data & Analytics,Orchard Education Labs,FinTech,Seattle,WA,United States,Hybrid,Mid Level,Full-time,74000.0,-1000.0,year,USD,Communication | Data Visualization | Excel | Product Analytics | SQL,Power BI | Project Management | Statistics | Tableau,Bachelor's degree,6,True,Synthetic mid level opportunity in fintech focused on Communication and collaborative problem solving.,Drew Clark,drew.clark31@example.org,(206) 555-0131,synthetic_job_board,SYN-20260308-00032,True
CP-00033,2026-04-22,Product Data Analyst,Product Analyst,Data & Analytics,Blue Ridge Analytics,E-commerce,Austin,TX,United States,On-site,Internship,Internship,34000.0,48000.0,year,USD,Communication | Data Visualization | Excel | Product Analytics | Python | SQL,Power BI | Project Management | Statistics | Tableau,High school diploma,0,False,Synthetic internship opportunity in e-commerce focused on Communication and collaborative problem solving.,Reese Patel,reese.patel32@example.org,(512) 555-0132,synthetic_job_board,SYN-20260422-00033,True
CP-00034,2026-03-23,Network Engineer,Network Engineer,Information Technology,Hoosier Automation Co.,Cloud Services,Chicago,IL,United States,Hybrid,Entry Level,Full-time,48000.0,64000.0,year,USD,Cisco | Communication | Cybersecurity | Linux | Networking | Python,AWS | SIEM,Bachelor's degree,2,True,Synthetic entry level opportunity in cloud services focused on Cisco and collaborative problem solving.,Casey Smith,casey.smith33@example.net,(555) 555-0133,synthetic_job_board,SYN-20260323-00034,True
CP-00035,2026-04-24,Application Developer,Software Engineer,Software Engineering,Blue Ridge Analytics,FinTech,Atlanta,GA,United States,Remote,Senior,Full-time,115000.0,150000.0,year,USD,Azure | Git | JavaScript | Linux | Project Management | React | SQL,Azure | Docker | Project Management,No degree specified,10,True,Synthetic senior opportunity in fintech focused on Azure and collaborative problem solving.,Skyler Smith,skyler.smith34@example.net,(555) 555-0134,synthetic_job_board,SYN-20260424-00035,True
CP-00036,2026-05-24,Product Data Analyst,Product Analyst,Data & Analytics,Blue Ridge Analytics,Software,Minneapolis,MN,United States,On-site,Senior,Full-time,92000.0,121000.0,year,USD,Communication | Data Visualization | Excel | Python | SQL,JavaScript | Power BI | Project Management | Statistics | Tableau,Bachelor's degree preferred,10,False,Synthetic senior opportunity in software focused on Communication and collaborative problem solving.,Cameron Davis,cameron.davis35@example.org,(555) 555-0135,synthetic_job_board,SYN-20260524-00036,True
CP-00037,2026-02-25,SOC Analyst,Cybersecurity Analyst,Cybersecurity,Rainier Cloud Group,Government Technology,Denver,CO,United States,On-site,Associate,Full-time,82000.0,112000.0,year,USD,Cybersecurity | Networking | Python | SIEM,AWS | Azure | Git | SQL,Bachelor's degree,2,False,Synthetic associate opportunity in government technology focused on Cybersecurity and collaborative problem solving.,Riley Wilson,riley.wilson36@example.com,(555) 555-0136,synthetic_job_board,SYN-20260225-00037,True
CP-00038,2026-04-04,Security Operations Analyst,Cybersecurity Analyst,Cybersecurity,Summit Network Partners,Cybersecurity,Atlanta,GA,United States,On-site,Internship,Internship,34000.0,43000.0,year,USD,Communication | Cybersecurity | Linux | Networking | Python | SIEM,AWS | Azure | Git | Project Management,No degree specified,0,False,Synthetic internship opportunity in cybersecurity focused on Communication and collaborative problem solving.,Cameron Davis,cameron.davis37@example.com,(555) 555-0137,synthetic_job_board,SYN-20260404-00038,True
CP-00039,2026-07-16,Associate Software Developer,Junior Developer,Software Engineering,Potomac Digital Services,Education Technology,Seattle,WA,United States,Remote,Senior,Full-time,90000.0,125000.0,year,USD,AWS | Azure | HTML/CSS | JavaScript | React | SQL,AWS | Java | Linux,Bachelor's degree,7,True,Synthetic senior opportunity in education technology focused on AWS and collaborative problem solving.,Drew Lee,drew.lee38@example.org,(206) 555-0138,synthetic_job_board,SYN-20260716-00039,True
CP-00040,2026-02-28,Automation Engineer,Automation Engineer,Electrical & Hardware Engineering,Axiom Circuit Labs,Energy,Denver,CO,United States,Hybrid,Internship,Internship,35000.0,50000.0,year,USD,AutoCAD | Communication | Control Systems | Python,Project Management | Robotics | SQL,Bachelor's degree,0,True,Synthetic internship opportunity in energy focused on AutoCAD and collaborative problem solving.,Taylor Wilson,taylor.wilson39@example.com,(555) 555-0139,synthetic_job_board,SYN-20260228-00040,True
CP-00041,2026-04-29,Junior Electrical Engineer,Electrical Engineer,Electrical & Hardware Engineering,Orchard Education Labs,Robotics,San Diego,CA,United States,On-site,Associate,Full-time,,,year,USD,Altium | AutoCAD | Circuit Design | Communication | PLC | Python,Arduino | Git | LabVIEW | Project Management,Bachelor's degree,2,False,Synthetic associate opportunity in robotics focused on Altium and collaborative problem solving.,Jordan Martin,jordan.martin40@example.com,(555) 555-0140,synthetic_job_board,SYN-20260429-00041,True
CP-00042,2026-02-05,Junior Data Analyst,Data Analyst,Data & Analytics,Liberty Financial Tech,Healthcare,Chicago,IL,United States,Hybrid,Associate,Full-time,,,year,USD,Communication | Power BI | SQL | Tableau,Git | Project Management,No degree specified,1,True,Synthetic associate opportunity in healthcare focused on Communication and collaborative problem solving.,Reese Davis,reese.davis41@example.net,(555) 555-0141,synthetic_job_board,SYN-20260205-00042,True
CP-00043,2026-05-17,Electrical Engineer,Electrical Engineer,Electrical & Hardware Engineering,Rainier Cloud Group,Energy,Baltimore,MD,United States,Remote,Entry Level,Full-time,,,year,USD,AutoCAD | Azure | C++ | Communication | Git | Project Management | Python,Embedded C | LabVIEW | Project Management,Bachelor's degree,2,True,Synthetic entry level opportunity in energy focused on AutoCAD and collaborative problem solving.,Riley Wilson,riley.wilson42@example.org,(410) 555-0142,synthetic_job_board,SYN-20260517-00043,True
CP-00044,2026-04-04,Entry-Level Developer,Junior Developer,Software Engineering,Front Range Controls,Software,Columbus,OH,United States,Remote,Entry Level,Full-time,46000.0,55000.0,year,USD,AWS | Communication | HTML/CSS | JavaScript | Project Management | Python | SQL,AWS | C++ | Java | Linux | Project Management,Bachelor's degree,0,True,Synthetic entry level opportunity in software focused on AWS and collaborative problem solving.,Reese Lewis,reese.lewis43@example.com,(555) 555-0143,synthetic_job_board,SYN-20260404-00044,True
CP-00045,not-a-date,Electrical Engineer,Electrical Engineer,Electrical & Hardware Engineering,Axiom Circuit Labs,Robotics,Chicago,IL,United States,On-site,Mid Level,Full-time,89000.0,106000.0,year,USD,AutoCAD | C++ | Circuit Design | Communication | MATLAB | PLC | Python,Git | LabVIEW,High school diploma,3,False,Synthetic mid level opportunity in robotics focused on AutoCAD and collaborative problem solving.,Jordan Lee,jordan.lee44@example.com,(555) 555-0144,synthetic_job_board,SYN-20260706-00045,True
CP-00046,2026-04-06,Embedded Software Engineer,Embedded Systems Engineer,Electrical & Hardware Engineering,Hoosier Automation Co.,Automotive,Indianapolis,IN,United States,On-site,Mid Level,Full-time,86000.0,102000.0,year,USD,C++ | Circuit Design | Git | Linux,Altium | Communication | MATLAB | Python | RTOS,No degree specified,4,False,Synthetic mid level opportunity in automotive focused on C++ and collaborative problem solving.,Parker Davis,parker.davis45@example.org,(317) 555-0145,synthetic_job_board,SYN-20260406-00046,True
CP-00047,2026-06-13,Information Security Analyst,Cybersecurity Analyst,Cybersecurity,Peachtree Technology Group,Government Technology,Chicago,IL,United States,On-site,Mid Level,Full-time,81000.0,116000.0,year,USD,Cybersecurity | Incident Response | Linux | Networking | Python | SIEM,AWS | Azure | Git | Project Management | SQL,Bachelor's degree,3,False,Synthetic mid level opportunity in government technology focused on Cybersecurity and collaborative problem solving.,Drew Clark,drew.clark46@example.com,(555) 555-0146,synthetic_job_board,SYN-20260613-00047,True
CP-00048,2026-05-28,Security Operations Analyst,Cybersecurity Analyst,Cybersecurity,Potomac Digital Services,Cybersecurity,Minneapolis,MN,United States,Remote,Mid Level,Full-time,90000.0,114000.0,year,USD,Azure | Communication | Git | Project Management,AWS | Azure | Git | Project Management | SQL,Bachelor's degree,6,True,Synthetic mid level opportunity in cybersecurity focused on Azure and collaborative problem solving.,Quinn Kim,quinn.kim47@example.com,(555) 555-0147,synthetic_job_board,SYN-20260528-00048,True
CP-00049,2026-05-18,Infrastructure Engineer,Network Engineer,Information Technology,Rainier Cloud Group,Managed Services,Chicago,IL,United States,On-site,Internship,Internship,38000.0,48000.0,year,USD,Cisco | Communication | Cybersecurity | Linux | Networking | Python,AWS | Project Management | SIEM,Bachelor's degree,0,False,Synthetic internship opportunity in managed services focused on Cisco and collaborative problem solving.,Skyler Martin,skyler.martin48@example.org,(555) 555-0148,synthetic_job_board,SYN-20260518-00049,True
CP-00050,2026-07-12,SOC Analyst,Cybersecurity Analyst,Cybersecurity,Liberty Financial Tech,Cybersecurity,Salt Lake City,UT,United States,Remote,Associate,Full-time,74000.0,92000.0,year,USD,Azure | Communication | Cybersecurity | Git | Incident Response | Linux | SIEM,AWS | Azure | Git | SQL,No degree specified,2,True,Synthetic associate opportunity in cybersecurity focused on Azure and collaborative problem solving.,Reese Lewis,reese.lewis49@example.net,(555) 555-0149,synthetic_job_board,SYN-20260712-00050,True
CP-00051,2026-05-20,Network Engineer,Network Engineer,Information Technology,Blue Ridge Analytics,Telecommunications,Chicago,IL,United States,Hybrid,Internship,Internship,36000.0,44000.0,year,USD,Cisco | Cybersecurity | Linux | Networking | Python,Azure | Git | Project Management | SIEM,No degree specified,0,True,Synthetic internship opportunity in telecommunications focused on Cisco and collaborative problem solving.,Casey Smith,casey.smith50@example.net,(555) 555-0150,synthetic_job_board,SYN-20260520-00051,True
CP-00052,2026-02-12,Product Data Analyst,Product Analyst,Data & Analytics,Great Lakes Data Cooperative,E-commerce,Seattle,WA,United States,Hybrid,Associate,Contract,73000.0,94000.0,year,USD,Communication | Data Visualization | Excel | Python,JavaScript | Power BI | Statistics,Bachelor's degree,2,True,Synthetic associate opportunity in e-commerce focused on Communication and collaborative problem solving.,Jordan Lee,jordan.lee51@example.org,(206) 555-0151,synthetic_job_board,SYN-20260212-00052,True
CP-00053,2026-04-14,Backend Engineer,Software Engineer,Software Engineering,Great Lakes Data Cooperative,HealthTech,Indianapolis,IN,United States,Hybrid,Mid Level,Full-time,83000.0,114000.0,year,USD,,C++ | Communication | Docker,Bachelor's degree,3,True,Synthetic mid level opportunity in healthtech focused on Git and collaborative problem solving.,Skyler Davis,skyler.davis52@example.org,(317) 555-0152,synthetic_job_board,SYN-20260414-00053,True
CP-00054,2026-05-05,Information Security Analyst,Cybersecurity Analyst,Cybersecurity,Northstar Robotics,Government Technology,Indianapolis,IN,United States,Remote,Associate,Full-time,71000.0,93000.0,year,USD,AWS | Cybersecurity | Incident Response | Networking | Python | SIEM,Azure | Git | Project Management,Bachelor's degree,2,True,Synthetic associate opportunity in government technology focused on AWS and collaborative problem solving.,Riley Brown,riley.brown53@example.org,(317) 555-0153,synthetic_job_board,SYN-20260505-00054,True
CP-00055,2026-06-04,Software Engineer,Software Engineer,Software Engineering,Rainier Cloud Group,FinTech,Austin,TX,United States,Hybrid,Internship,Internship,53000.0,66000.0,year,USD,AWS | Java | JavaScript | Python | React | SQL,Azure | C++ | Communication | Docker | Project Management,High school diploma,0,True,Synthetic internship opportunity in fintech focused on AWS and collaborative problem solving.,Drew Patel,drew.patel54@example.net,(512) 555-0154,synthetic_job_board,SYN-20260604-00055,True
CP-00056,2026-03-07,Firmware Engineer,Embedded Systems Engineer,Electrical & Hardware Engineering,Great Lakes Data Cooperative,Aerospace,Minneapolis,MN,United States,Remote,Internship,Internship,37000.0,52000.0,year,USD,AWS | Arduino | C++ | Git | Linux | Microcontrollers,Communication | MATLAB | Python | RTOS,Bachelor's degree,0,True,Synthetic internship opportunity in aerospace focused on AWS and collaborative problem solving.,Jordan Lee,jordan.lee55@example.com,(555) 555-0155,synthetic_job_board,SYN-20260307-00056,True
CP-00057,2026-06-06,Full Stack Engineer,Software Engineer,Software Engineering,Blue Ridge Analytics,FinTech,Pittsburgh,PA,United States,Hybrid,Entry Level,Full-time,57000.0,72000.0,year,USD,AWS | Git | Java | JavaScript | Python | React | SQL,Azure | C++ | Communication | Docker | Project Management,Bachelor's degree preferred,1,True,Synthetic entry level opportunity in fintech focused on AWS and collaborative problem solving.,Casey Wilson,casey.wilson56@example.org,(555) 555-0156,synthetic_job_board,SYN-20260606-00057,True
CP-00058,2026-04-28,Associate Software Developer,Junior Developer,Software Engineering,Rainier Cloud Group,E-commerce,Seattle,WA,United States,Remote,Senior,Part-time,99000.0,126000.0,year,USD,Azure | Git | Project Management | Python,AWS | C++ | Java | Linux | Project Management,Associate degree,6,True,Synthetic senior opportunity in e-commerce focused on Azure and collaborative problem solving.,Riley Brown,riley.brown57@example.net,(206) 555-0157,synthetic_job_board,SYN-20260428-00058,True
